fielddate	poiskInd_ind_corr	poiskInd_ind_pca	poiskInd_corr	poiskInd_pca
2004-01	3.45556075205175	4.135006102099095	6.869264753117988	12.01672544986763
2004-02	9.761241217976018	9.819398826986564	7.282702997858297	14.036387347807652
2004-03	16.271263835310716	10.810477943692835	4.498549910556048	16.261579325124018
2004-04	18.35633236740153	13.844360742838402	8.354595449371047	15.386329969792262
2004-05	10.663158428377738	20.638398901157267	7.737995102926103	19.847244339332626
2004-06	4.589727742501308	3.7939423022945062	14.583335724558525	36.57176235924054
2004-07	12.092213070718111	16.158843010995227	12.094812355428106	18.57432252709058
2004-08	9.186737350723941	16.613791757215438	8.18593375609578	17.14366049711255
2004-09	3.3382781176956913	8.779923828168192	2.18318881024864	14.931587899196803
2004-10	6.368619256751028	16.024071957498748	7.3448435899425295	13.945176331081388
2004-11	12.684188409140345	23.223363272578432	7.556755943190277	11.215285641867872
2004-12	13.898908685944146	19.319764670037817	10.608037326489436	20.358148452193443
2005-01	1.8433749200947562	0.0	0.0	15.073356901476961
2005-02	10.020783362406448	11.299825161768544	2.1417696475693537	13.992966601548826
2005-03	21.7390623600249	26.729967222704055	9.422941962867442	13.686876739702214
2005-04	4.544869606768504	10.578385665184015	8.711088509418852	13.962467293058785
2005-05	11.04597763706118	2.1029334559093895	7.895904451447175	15.93388131806271
2005-06	21.057016116974797	9.329264127784347	15.103930731161723	18.10866910957283
2005-07	0.0	1.9260930172881905	0.23253951795424752	11.105107287541777
2005-08	15.171506663286529	14.097678313096527	10.364104598105358	17.320611157121046
2005-09	25.394441930564312	23.4324196707484	9.734769138333546	21.61928078953277
2005-10	15.582741706015888	12.263013333635998	9.64342680725411	18.526450418716216
2005-11	24.363487341243626	24.075887797500236	14.32863105219988	18.616248280903285
2005-12	21.534819584510625	28.553743391218728	10.837098384248344	19.109110453000103
2006-01	23.061341387991266	35.203952375973905	8.513153472460537	13.253115067148652
2006-02	16.21104899349089	16.907688965418927	7.777227183856558	14.804061485562306
2006-03	26.236109856927595	24.255224716674057	11.015850385514698	17.56906059156048
2006-04	23.190532086047618	19.723131232472877	12.39883572930471	15.894772832502596
2006-05	25.410589068569827	28.315799008476148	14.380932728968164	16.876960931206295
2006-06	17.550304138518786	22.835446872388353	8.60168752503907	15.459788982873873
2006-07	20.46185055362531	27.615584317678877	13.077886344007911	18.38363678372055
2006-08	18.3898890927758	28.50712038499187	14.95689490301582	16.344312430006614
2006-09	25.11807940561789	27.283907134073377	10.769509806710888	20.192729211351878
2006-10	15.3604166172343	17.172241215610487	9.533776395304786	16.323545301808494
2006-11	16.993054522784835	20.054605225433388	10.848457818387027	17.647477166206695
2006-12	14.382946086578631	15.733101934825193	8.838352580810831	15.800159024681074
2007-01	18.750729600612157	22.098736262079246	9.233273796212691	15.611341166979892
2007-02	12.689754300997365	15.923439470176898	8.069216394284487	15.639301684616491
2007-03	16.72872633558482	18.390776812770568	10.53259232389786	18.585293704472182
2007-04	21.749723616300706	20.926552632018815	13.048464737452704	17.34665209585773
2007-05	20.927477539548057	34.20922571662014	12.26205424751833	18.96160595585932
2007-06	21.194562974024326	24.771949341232162	10.356357178538827	18.914353047636755
2007-07	19.846195166760218	22.34857085814261	11.420877287982707	19.070645690626694
2007-08	22.054797546204732	26.274526508936432	13.291051115056186	19.965565506567394
2007-09	28.49055736597677	32.433148080449506	11.530932121865	19.788854315379808
2007-10	28.475476833031518	27.03359884256472	13.59433108495635	21.681164041303493
2007-11	30.421006852958016	35.75338054128574	15.953620559383811	23.791510560187394
2007-12	33.42724778276508	36.701586268606796	16.624870663156873	22.25663669141459
2008-01	36.434511941023075	42.88918068114367	13.603666852171726	19.29468935689769
2008-02	32.32608382984352	35.39880679539621	13.44042410274894	21.201709501133422
2008-03	25.563253027150314	28.524764048434253	14.232331604926745	21.011965554637012
2008-04	21.784230835595388	23.65981374006728	16.050062188131655	20.97638413585104
2008-05	22.95773929805904	24.343203924995276	13.824169428005261	21.624289402754663
2008-06	30.720264367182907	27.728872452897605	33.51656041956829	87.12630348168783
2008-07	30.05353550673631	31.637263060407847	18.765776728507756	24.860058472580835
2008-08	20.68442620640427	24.91995584233818	12.39748503526872	19.359454244380597
2008-09	44.89893658883585	60.50730835261837	19.63207036532126	22.218986008132934
2008-10	77.75270083662133	99.92300367296266	28.08440909756963	21.6556230326141
2008-11	60.67757112560919	72.1773970031243	22.421352888293743	20.087736109912115
2008-12	50.11377107813864	59.60684607627311	19.568514212852406	24.69140831411774
