fielddate	newsInd_krizis_share	total_cnt	newsInd_krizis_corr	newsInd_krizis_neg	newsInd_krizis_neg_len	newsInd_krizis_diff	newsInd_krizis_diff_len
2011-02	37.28736473786416	5.0	0.0	97.0981235283506	100.0	97.07367906323874	100.00000000000001
2011-03	0.0	28.0	0.03693975629418671	100.0	99.88034926272691	100.0	99.72712303588614
2011-04	87.21377151362049	37.0	0.24108183969740793	98.43345871321948	99.06556651114727	98.42522448068024	98.89607500365787
2011-05	88.09983909462575	49.0	0.27655295013424896	97.42901731150413	97.91809523780607	97.40223675256195	97.60634576893683
2011-06	100.0	73.0	0.48409180156316106	98.07039276431964	98.68085636889997	98.05697120096285	98.50031567943896
2011-07	70.6267993359095	53.0	0.3109618813869264	99.02517955013288	99.23324349903119	99.02198994291376	99.06519534497721
2011-08	57.16954131259219	1014.0	6.415878889154078	85.92610020801716	84.0088499662978	85.97503843088056	83.90464203076009
2011-09	66.31980179304317	4396.0	29.510024241751232	75.30643933275309	72.12667855605211	75.46322368388802	72.52703502302761
2011-10	72.98033176317557	4559.0	35.50428679179014	73.45151420732923	70.31395212505645	73.61048185627266	70.89132034569694
2011-11	80.97714668959728	3844.0	29.928621067161668	78.60996527102289	76.26560197245972	78.78787957256766	77.01542691419677
2011-12	66.05161903743004	3052.0	19.428996026443304	83.63351949888926	81.43903393904851	83.77441324380564	82.13120298441018
2012-01	59.18779653248053	2868.0	18.139573671977725	83.87972206359758	80.61864155663162	83.96967659929066	80.92618258413994
2012-02	69.51415068449188	3554.0	23.907139270228036	79.45728030442206	76.97778636024856	79.57750191997768	77.55800700630962
2012-03	62.64573326197145	3728.0	22.371761364482385	77.71079613499079	75.32383203230704	77.81465223374772	75.91183658226952
2012-04	55.17662424987208	3345.0	17.81126089390296	80.10456453029991	76.71050610839347	80.20332068986824	76.99754371107574
2012-05	66.08515835680348	3213.0	20.177948539982054	81.80221835043112	78.30320162529259	81.91971040540106	78.68285699623873
2012-06	85.89957821231019	2931.0	25.013103654075763	82.14689642352825	78.80373853453193	82.22462785354192	78.899068920342
2012-07	50.614671100420324	2676.0	15.136769539810073	83.84429307838545	80.6108071116207	83.91558434939392	80.7652947101189
2012-08	44.3191385086195	2639.0	12.759501142916	84.34907708392731	81.86211948659493	84.42477754729852	81.9649217215014
2012-09	66.20674161658201	2794.0	16.06888478205479	82.57082189566269	80.36064055606653	82.63811413117733	80.4943285602022
2012-10	58.7623390869286	3239.0	17.808971793684343	80.70321253810664	76.97837502226075	80.77582975625512	76.97457280981357
2012-11	65.61859863381297	3127.0	18.405708880410693	80.80083663194439	77.77668285740612	80.86608014507487	77.82187190349596
2012-12	52.459757790804694	3007.0	15.512443044143504	83.38953052389913	80.571863866275	83.47941455884764	80.7443208549347
2013-01	54.91895269455276	3034.0	16.10390077052811	80.22709076397628	76.90688480787804	80.28380395755003	76.773833232548
2013-02	54.8039611397388	3407.0	18.521593482300574	77.6855387317487	74.94935635540789	77.73590167186012	74.75682292884032
2013-03	69.41471746516828	2925.0	22.066238937015044	83.25922461834816	79.82450128411162	83.33830960977407	79.8898052176698
2013-04	49.16465776162913	3794.0	20.017472921691873	78.31652631213235	74.80886362423333	78.43067752720069	75.1937323414258
2013-05	33.28399893231411	7099.0	27.935234360243744	66.10242413410498	58.703931226338995	66.49778819161827	60.2528606220671
2013-06	48.706117566501185	8554.0	41.330294712605784	61.38226260707981	53.38019348279731	61.80557896507227	54.8990804174123
2013-07	43.70495453967486	10515.0	50.81550325449605	58.09804988407398	47.9037610387952	58.61248708835744	49.96722869431316
2013-08	42.13491305369873	11270.0	52.24619815777301	53.37139747023938	43.088093127224425	53.86560804986506	45.01935174269614
2013-09	50.23526899930528	11880.0	64.89623718778354	47.830036131454726	40.94867702015797	48.45006415747295	43.74490171541495
2013-10	49.81663992766832	11700.0	67.66991714381554	54.96024514227064	47.77065899946909	55.46492934403573	49.901721333110224
2013-11	41.36410045468474	9598.0	49.048956235369	47.677750006483095	36.42151085856377	48.28105563155583	39.341043540917255
2013-12	50.283703330663975	11366.0	68.30368709928743	39.543392916052994	28.18941267491106	40.155498621679904	31.26195242702121
2014-01	46.28705068003035	11416.0	62.90076728224522	45.9455465237698	34.61784761354153	46.533183878906534	37.422853518163855
