fielddate	newsInd_krizis_share	total_cnt	newsInd_krizis_corr	newsInd_krizis_neg	newsInd_krizis_neg_len	newsInd_krizis_diff	newsInd_krizis_diff_len
2008-02	14.993064393222532	871.0	0.0	100.0	97.4438157502083	100.0	98.2053689737434
2008-03	15.562328887605327	2951.0	15.906736474369916	59.90953727070231	53.12654420157702	60.24167867225874	56.25756785946915
2008-04	14.433070653259469	3002.0	12.587562973353107	57.77433041092556	46.889620412476326	58.006899419801236	48.25238775750215
2008-05	8.98411321714389	2761.0	8.351530787061206	66.70404487115341	53.73059639954658	66.94334785776493	55.09809863956344
2008-06	14.864322804492845	2757.0	11.340102353753695	61.29958701089402	53.92708302472922	61.34217373660373	54.60135527384953
2008-07	9.425320607486357	3211.0	12.970984035484117	47.82562440362166	43.80378772617874	47.814861941767624	45.263322157968155
2008-08	0.0	3876.0	14.447258653198512	42.60087294327829	30.13062391572945	42.888074983792485	31.133421086065518
2008-09	39.90700976528691	4417.0	55.266386395464	31.34230246907379	23.812986013797193	31.757386563304717	26.815127074974537
2008-10	65.74369254580989	4759.0	100.0	22.5221420719367	3.984525632536755	23.049120162072438	7.64552161163127
2008-11	48.86783105096676	4238.0	66.29714860518519	42.29036702126482	27.823440485241314	42.93223667123433	31.9596854536243
2008-12	46.75934200377991	4732.0	81.39716844563853	12.676341377268212	4.863247536326698	13.118431572382844	8.352563894254432
2009-01	42.62583179818697	3899.0	61.74060036935081	39.16397392908441	36.15450180015936	39.32094359894545	37.73823633480097
2009-02	55.4645471184356	3974.0	73.48706860846603	12.8570706953092	7.825134659566928	12.964441769719997	9.2929353225879
2009-03	60.38968407190547	4234.0	85.91751290487944	16.95456253472598	17.854629586673127	16.967207142302975	19.51584861736751
2009-04	58.5319376550608	4391.0	74.14792465564835	0.0	3.0778702844987897	0.0	5.644352564471527
2009-05	36.32990225316619	3850.0	51.98124121423587	17.05108673647013	14.295871789517062	17.02883314681484	15.871659871869104
2009-06	44.59132250188451	3556.0	60.60618068394428	26.336754738740293	27.671632712514175	26.216045826704484	30.09531273678887
2009-07	35.14384365795918	3523.0	51.58391254379271	23.928185655345512	22.715083931624143	23.840153291003077	25.590621511279103
2009-08	28.41075531720599	3281.0	38.609410979527595	31.541488550691973	23.93029363365757	31.22306305038983	23.103545286362973
2009-09	40.331521030471485	3245.0	54.35333896044193	24.399573762726682	31.954503785052573	24.214958196274036	34.30339875909982
2009-10	36.44898303547756	3538.0	50.9573345328187	29.15638148387009	33.09625437729631	29.087464909185794	35.799625292211395
2009-11	33.45730598306678	3233.0	44.46993409462625	40.07336977277411	36.21571103493923	39.91651536950069	37.30698016566998
2009-12	32.53214699179209	3476.0	49.39952098365407	30.120677080818087	29.514838057467404	30.02611898519068	31.647864133558645
2010-01	25.94869134325536	3013.0	35.18737575477305	52.93320083665616	55.84500581214079	53.01298178880861	59.19751585100828
2010-02	34.814202878032496	2879.0	41.59024330323555	40.1563609656576	45.94454522685586	40.12047562108527	49.65697032049239
2010-03	33.96275218299681	3220.0	44.9530526461652	37.05395076146013	37.43727881386046	37.05774180302476	40.955040696979594
2010-04	35.283661042192186	3097.0	44.83931324747735	32.32033345969584	47.7192924154314	32.200463756302625	52.103955312579885
2010-05	41.81131132709775	2881.0	46.00669418077959	38.62837618949486	50.27816305997488	38.44964075312981	53.18776459006004
2010-06	39.35653334755993	2899.0	40.351739618955094	27.416849385938193	41.97781253858554	27.00051483912441	43.609631151605086
2010-07	35.267620894463526	2782.0	31.437966148849245	34.96459015328289	49.9892658328219	34.64621781570518	52.529204746330045
