sber_date	sber_IFN	levada_IPN	levada_IPN_fillna	PMI_proiz	PMI_uslug	IPU_dob	IPU_obr	IPU_energ
2018-01		79	79	52,1	55,1	0	-3	-1
2018-02			83	50,2	56,5	1	-3	-2
2018-03		87	87	50,6	53,7	2	-2	-6
2018-04			83,5	51,3	55,5	2	-2	-9
2018-05		80	80	49,8	54,1	3	-2	-8
2018-06			77,5	49,5	52,3	3	-2	-6
2018-07		75	75	48,1	52,8	3	-2	-2
2018-08			75	48,9	53,3	0	-3	2
2018-09		75	75	50	54,7	1	-3	4
2018-10			73,5	51,3	56,9	0	-5	6
2018-11		72	72	52,6	55,6	-1	-6	5
2018-12			72	51,7	54,4	-4	-8	5
2019-01		72	72	50,9	54,9	-1	-2	-5
2019-02			76	50,1	55,3	0	-2	-5
2019-03		80	80	52,8	54,4	1	-2	-7
2019-04			79,5	51,8	52,6	3	-2	-8
2019-05		79	79	49,8	52	1	-1	-8
2019-06			79,5	48,6	49,7	1	-1	-6
2019-07		80	80	49,3	50,4	1	-1	-5
2019-08			80,5	49,1	52,1	0	-2	0
2019-09		81	81	46,3	53,6			
2019-10			81,5	47,2	55,8			
2019-11		82	82	45,6	55,6			
2019-12			83	47,5	53,1			
2020-01		84	84	47,9	54,1			
2020-02			76	48,2	52			
2020-03		68	68	47,5	37,1			
2020-04				31,3	12,2			
2020-05				36,2	35,9			
2020-06								
2020-07								
2020-08								
2020-09								
2020-10								
2020-11								
2020-12								
