fielddate	newsInd_krizis_share	newsInd_krizis_corr	newsInd_krizis_neg	newsInd_krizis_neg_len	newsInd_krizis_diff	newsInd_krizis_diff_len
2004-02	42.28295282284732	13.922881066358972	63.3951318966022	46.913221514651575	63.853365483984724	48.997761334023245
2004-03	22.454872013372345	0.0	60.00566754330337	46.74800080205864	60.4707636836435	48.93331435281158
2004-04	22.74035867377512	21.738350941304354	49.499395044584595	31.912558983909683	50.109894605123074	34.46685017987214
2004-05	22.266091760071802	19.176806974165824	58.4469159784442	40.18694696531803	58.99900125778849	42.31199835202499
2004-06	35.51002776504677	24.992348720394943	56.31667584358723	40.90991755404482	56.966388787351654	43.66834802669457
2004-07	31.94267952180131	26.14697593901793	54.756702876270076	36.69719363496827	55.17964375953046	38.12408850426061
2004-08	14.402479229469053	18.751275878484496	59.040408970470374	39.80157290054399	59.61840037880215	41.92590897609673
2004-09	16.345818193803627	20.957809494487783	38.0626357431919	9.1157653441276	38.607007805163114	8.988698174541033
2004-10	17.908650194733163	21.26111156514786	50.5711199026419	30.678013588355103	51.25110965181098	32.817959574136474
2004-11	18.659622363802573	22.660445343634372	52.294855769988146	33.73014000476387	53.05870608963738	37.132055974965155
2004-12	26.946589516511	24.27740023913997	53.30099900468822	36.83597954366026	54.018925211354095	40.21631011951092
2005-01	15.959016528513011	3.2894631696587613	100.0	95.93179278563149	100.0	96.7566321393188
2005-02	15.694156854783332	8.210551504879168	90.08667732520962	82.63853669286345	90.15115315443704	84.03756957184291
2005-03	18.170899480991753	11.724690463505466	82.11097516444919	74.61724733575595	82.18704161271594	75.6920443802
2005-04	28.7310321207618	14.17313241288917	78.32970255285585	73.7941019625722	78.58128866673995	76.47819331165013
2005-05	37.93130747590746	14.458318845488566	78.4452946552722	73.77587756183705	78.59946171701431	75.35240509335078
2005-06	25.899059341985197	12.082758467493605	87.51831220184806	85.83992952965937	87.58872728289069	87.06014199174227
2005-07	13.34469180255974	8.734260154665902	81.33701226215507	74.63669012630145	81.1885981737603	73.75790638129392
2005-08	13.483747556252244	9.296172799426888	85.08166375893488	82.80781160407058	85.03533243632273	83.21606896909945
2005-09	18.96137326917141	11.724365753698207	79.81279803896416	76.0419893706667	79.86717947662719	76.82340724748045
2005-10	18.171379735620814	11.765481840604153	80.67178882519005	78.59067519367095	80.6731775614662	79.11751087866264
2005-11	18.787614689516612	11.6678741510702	77.6090630240633	78.26010914112088	77.63500376450824	79.37271230687836
2005-12	17.575150164972992	10.558277423290198	83.60575686500583	86.72072901904339	83.57220394857136	87.46240556299965
2006-01	11.935990497041807	3.5810562642504262	96.35542009190006	100.0	96.18235264180454	100.0
2006-02	15.410301760235518	4.505567740478468	88.2136190438196	96.79106527069773	88.00898215798975	97.08704757123482
2006-03	22.090531801746653	7.324714800956606	86.51393064094337	96.02781049210111	86.32471271893756	96.5354105737072
2006-04	27.625094728489643	8.228448718948151	87.85440617050449	95.60750914531694	87.70555592961874	96.15747676906736
2006-05	25.166070190860985	9.077048398921884	87.94407713152704	96.6769105788512	87.79247699969265	97.36220468214417
2006-06	24.86143685558635	8.124709313961027	86.9596595691073	97.8095196533301	86.79459766772057	98.64232013926501
2006-07	19.339336518534058	7.673033590414024	83.63962960014359	92.27610069651553	83.4031294486533	92.53815883342656
2006-08	18.02566121325468	6.6438779734343445	81.80596005208902	88.67107425539503	81.45893527933077	87.90589925758901
2006-09	24.912159459290862	8.251892114354769	83.20523737060724	90.91087066879238	82.96911336209209	91.00774704512945
2006-10	19.720856027192248	7.391816618709912	82.19985982082805	91.2459375848673	81.94419427663392	91.37702035612827
2006-11	24.706708893534426	8.469557821425273	78.95493454599884	87.98871917955887	78.71439258540336	88.27632226223909
2006-12	24.38251860369755	9.603470356522863	79.22449721902372	85.88964115325115	79.00350736102922	86.07253469346158
2007-01	21.46564634176844	8.163611697320382	82.56265510109512	85.87784848357784	82.30560966086173	85.60578572335777
2007-02	24.729930222295426	9.62593820126126	79.4656860420778	86.53508460438539	79.28782511424835	86.90274465294048
2007-03	26.17267675170604	10.897018361652053	80.18812585264378	84.94662975768736	80.01540735807923	85.20943906359706
2007-04	44.15245717337646	13.990352118193677	77.0670066227902	84.34040297304911	76.9545811691316	85.299420048257
2007-05	42.59604831901858	15.13974364194349	79.4841939226805	85.54337670154808	79.3859359523846	86.32977360803129
2007-06	46.92289417351361	17.432412080484706	84.68275193244963	92.0907886252986	84.56094536670945	93.07114681165173
2007-07	36.40602693745732	13.220545047846805	84.46961734746806	90.45681203868268	84.2145210158954	90.39440332468084
2007-08	34.32752974411739	14.616096461136626	81.7386762171358	86.02082226510231	81.42755066686793	85.31588158968064
2007-09	46.089598143093134	17.947754215795204	83.39811862506077	89.43288518415831	83.24307662673237	89.99177622594424
2007-10	44.709108671103884	19.748520828017654	79.42595650780619	87.39366291333155	79.22386254299082	87.86448181190909
2007-11	60.506483015803916	25.255836402653753	73.98198360571527	81.61645900372861	73.76002677904857	82.02334033694999
2007-12	44.45975251929491	23.338120183089266	76.90036540325978	88.49559013556463	76.74043673918008	89.9636741445142
2008-01	60.11777430853455	29.10664454295664	76.63358775532843	77.46321801266862	76.53638200534564	78.58699516015184
2008-02	51.224761919529875	26.006007825505627	79.49298443048426	71.57475533012423	79.57339621477017	73.19411127103997
2008-03	51.99404307552243	32.354961927919966	70.73714063060409	64.8000283919967	70.83822291051105	66.31540570892182
2008-04	53.65251859082167	32.02070654130664	68.67646686448114	63.56261364884698	68.79641453676359	65.2737349957984
