fielddate	CPI_M_CHI	WAG_M	WAG_C_M	IP2_EA_M	UNEMPL_M_SH	RTRD_M_DIRI	RTRD_M	INVFC_M	IM_T_M	USD	EUR	RTS_LAST_VALUE	RTS_CLOSE_MEAN	RTS_TRADING_VOLUME_MEAN	DEP_FIZ	IPOT_CNT	IPOT_VOLUME	IPOT_DEBT
2003-06	100.8	107.22	5550.0		8.4	131.3	358.4	181.9	6.1			503.51	481.34700000000004	22104934.0				
2003-07	100.7	107.87	5615.0		8.3	134.8	369.8	185.8	6.7			457.02	470.83347826086947	26092131.52173913				
2003-08	99.6	106.03	5491.0		8.2	138.9	381.0	204.8	6.4			530.94	499.272380952381	15713056.38095238				
2003-09	100.3	106.99	5556.0		8.2	140.5	388.0	216.9	6.5			566.62	548.4963636363638	22308196.818181816				
2003-10	101.0	111.91	5864.0		8.2	145.3	405.5	209.6	7.1			506.12	595.5313043478261	37710216.782608695				
2003-11	101.0	113.14	5990.0		8.2	146.2	411.8	216.2	6.8			529.27	523.0731578947368	19713071.47368421				
2003-12	101.1	137.24	7344.0		8.6	168.7	479.7	352.5	8.5			567.25	553.1018181818182	18949721.0				
2004-01	101.8	108.01	5932.0		9.1	137.3	396.5	124.1	5.6	28.838794999999998	36.37700000000001	611.1	602.671052631579	22776314.05263158				
2004-02	101.0	110.49	6141.0		9.5	136.5	397.4	149.9	6.6	28.51467368421052	36.09247894736842	670.14	639.2784210526316	22795577.842105262				
2004-03	100.8	114.8	6428.0		8.9	148.0	433.6	168.2	7.8	28.529261904761906	35.01782857142858	752.66	697.5331818181819	27904830.272727273				
2004-04	101.0	114.11	6448.0		8.2	147.5	435.6	170.7	7.8	28.68563181818182	34.446327272727274	631.11	721.6931818181819	37739749.22727273				
2004-05	100.7	114.57	6524.0		7.6	146.5	435.7	209.2	7.4	28.98921666666667	34.816788888888894	581.07	612.1088888888887	23297962.055555556				
2004-06	100.8	122.02	7003.0		7.5	146.8	440.5	246.4	7.9	29.02972380952381	35.29821904761905	583.32	580.9219047619049	22955495.095238097				
