fielddate	CPI_M_CHI	WAG_M	WAG_C_M	IP2_EA_M	UNEMPL_M_SH	RTRD_M_DIRI	RTRD_M	INVFC_M	IM_T_M	USD	EUR	RTS_LAST_VALUE	RTS_CLOSE_MEAN	RTS_TRADING_VOLUME_MEAN	DEP_FIZ	IPOT_CNT	IPOT_VOLUME	IPOT_DEBT
2010-08	100.6	200.4	20753.0		6.7	273.7	1414.6	794.7	23.6	30.351004761904765	39.21346666666667	1421.21	1458.4968181818183	448461191.1363636		156876.0	188524.0	24427.0
2010-09	100.8	201.2	20999.0		6.5	269.3	1408.4	882.9	23.2	30.811859090909095	40.09299545454546	1507.66	1477.9509090909094	519376762.0		185016.0	222960.0	25026.0
2010-10	100.5	199.8	20970.0		6.7	277.9	1462.6	931.2	24.5	30.322836363636362	42.085536363636365	1587.14	1580.9985714285715	586592203.5714285		215522.0	260473.0	25348.0
2010-11	100.8	203.2	21486.0		6.6	276.8	1470.9	977.7	24.5	30.986640000000005	42.32888	1597.35	1605.1485714285716	520669218.38095236		247797.0	301479.0	26075.0
2010-12	101.1	262.1	28027.0		7.0	329.7	1771.1	1676.3	27.0	30.85773043478261	40.78209130434783	1770.28	1733.2986363636364	467750699.22727275		298213.0	364634.0	23564.0
2011-01	102.4	190.8	20669.0		7.6	248.2	1360.9	367.8	16.2	29.991920000000004	40.22191333333333	1870.31	1877.6766666666665	518110629.93333334	9818047.826	15135.0	19901.0	24333.0
2011-02	100.8	189.1	20680.0		7.4	245.0	1354.1	486.3	21.7	29.32114736842106	40.01045263157894	1969.91	1899.6173684210528	526797818.7894737	9729657.755	40421.0	54280.0	24221.0
2011-03	100.6	206.0	22673.0		7.0	263.1	1465.1	567.9	26.8	28.463686363636363	39.798913636363636	2044.2	1988.4450000000004	443251171.04545456	9920657.09	74750.0	101913.0	24476.0
2011-04	100.4	203.7	22519.0		7.1	265.5	1484.7	611.1	26.9	28.084022727272725	40.55246818181818	2026.94	2051.2328571428575	438297785.52380955	10018028.383	111521.0	152437.0	24586.0
2011-05	100.5	204.7	22779.0		6.2	273.0	1532.2	766.9	27.9	27.934284210526314	40.01653684210526	1888.6	1868.021	485088753.5	10230435.577	151795.0	204872.0	25007.0
2011-06	100.2	216.4	24137.0		6.0	276.2	1551.4	928.0	27.5	27.98714761904761	40.263290476190484	1906.71	1885.7209523809524	463866642.14285713	10280337.321	195803.0	265304.0	25462.0
2011-07	100.0	211.6	23598.0		6.4	285.3	1599.2	824.0	26.9	27.91225454545455	39.90743636363636	1965.02	1951.1419047619052	501496801.61904764	10516464.489	238957.0	323275.0	25369.0
2011-08	99.8	207.6	23051.0		6.0	296.2	1652.6	969.2	29.4	28.746490909090905	41.21725909090908	1702.28	1675.509130434783	525636792.3913044	10618898.215	286350.0	386388.0	25497.0
2011-09	100.0	211.3	23468.0		6.0	294.7	1643.2	1060.9	26.8	30.571731818181817	42.19585	1341.09	1523.6881818181819	446633800.1818182	10720910.976	337076.0	452674.0	25583.0
2011-10	100.5	211.5	23602.0		6.2	303.3	1701.3	1175.4	28.7	31.388166666666674	42.921757142857146	1563.28	1417.627619047619	392928430.3333333	10920214.634	390319.0	521529.0	25821.0
2011-11	100.4	216.8	24296.0		6.2	300.2	1693.9	1192.3	29.8	30.822985714285714	41.86537142857142	1540.81	1496.6590476190477	418797251.8095238	10876079.134	446614.0	596508.0	26006.0
2011-12	100.4	291.4	32809.0		6.0	360.6	2044.0	2085.9	30.0	31.49111739130435	41.494239130434785	1381.87	1420.8172727272727	343046707.5	11061371.67	520658.0	697417.0	25946.0
2012-01	100.5	210.4	23746.0		6.3	267.2	1524.5	457.3	19.1	31.238300000000002	40.27216666666667	1577.29	1486.6457142857141	314028704.8095238	11871363.018	28221.0	38547.0	26188.0
2012-02	100.4	212.1	24036.0		6.2	265.8	1524.4	602.3	24.7	29.885460000000002	39.482234999999996	1734.99	1654.3149999999998	300962032.85	11638441.815	73185.0	102204.0	26254.0
2012-03	100.6	224.2	25487.0		6.3	284.2	1640.8	670.5	28.4	29.33186363636364	38.7875090909091	1637.73	1700.5909523809526	333985464.9047619	11793393.15	126619.0	178821.0	25455.0
2012-04	100.3	226.2	25800.0		5.6	284.8	1650.1	709.9	26.8	29.490885714285717	38.81446666666667	1593.97	1608.1514285714281	265652488.80952382	11984283.356	184306.0	263422.0	25461.0
2012-05	100.5	230.5	26385.0		5.2	294.1	1712.9	931.6	28.2	30.80437	39.44120499999999	1242.43	1384.263043478261	242148746.7826087	12259615.055	239391.0	342711.0	25487.0
2012-06	100.9	238.1	27494.0		5.2	298.0	1749.2	1089.0	27.0	32.87836666666666	41.213104761904766	1350.51	1296.7430000000002	530618617.15	12509440.096	294563.0	423056.0	25424.0
2012-07	101.2	228.6	26684.0		5.2	303.3	1794.1	976.6	29.7	32.52510476190474	40.016895238095245	1377.35	1368.9445454545455	986593663.3636364	12833439.906	352113.0	509177.0	25496.0
2012-08	100.1	220.1	25718.0		5.0	311.8	1848.7	1099.1	30.0	31.956795652173913	39.570678260869556	1389.72	1421.0765217391306	915016574.7391304	12830585.718	416136.0	603023.0	25423.0
2012-09	100.6	221.2	25996.0		5.0	310.3	1849.6	1149.3	27.4	31.51765714285714	40.463519047619044	1475.7	1486.9629999999997	1267608117.15	13032058.272	474639.0	688941.0	25166.0
2012-10	100.5	227.0	26803.0		5.1	317.4	1904.5	1373.0	32.2	31.115650000000002	40.3385409090909	1433.96	1479.5004347826084	919093395.6086956	13057606.215	542314.0	789651.0	25030.0
2012-11	100.3	231.7	27448.0		5.2	315.2	1900.3	1303.3	30.6	31.39876666666667	40.29328095238095	1436.55	1411.4133333333334	878914024.3333334	13196494.804	610097.0	892512.0	24798.0
2012-12	100.5	306.1	36450.0		5.1	378.5	2295.4	2224.2	31.9	30.737259090909095	40.31327272727273	1526.98	1497.7514999999999	859346673.7	13434237.307	688997.0	1014327.0	27548.0
2013-01	101.0	222.6	26840.0		6.0	279.0	1710.7	511.4	21.7	30.227143749999996	40.27493749999999	1622.13	1596.3072222222222	1010763055.2222222	14251046.02	33559.0	51463.0	28164.0
2013-02	100.6	220.3	26620.0		5.8	274.0	1690.3	652.5	26.5	30.163069999999998	40.375209999999996	1534.41	1580.0280000000002	965135174.4	14069260.194	83714.0	131390.0	28038.0
2013-03	100.3	236.9	28693.0		5.7	297.0	1840.3	741.5	28.4	30.800290476190476	39.935566666666666	1460.04	1498.2224999999999	974826240.25	14396192.877	141998.0	224198.0	27867.0
2013-04	100.5	246.8	30026.0		5.6	297.0	1850.3	771.6	29.8	31.35021428571428	40.779885714285705	1407.21	1391.4609090909091	933759825.1363636	14738945.503	210855.0	336147.0	27940.0
2013-05	100.7	242.9	29723.0		5.2	303.8	1902.3	987.0	26.4	31.305883333333334	40.54167777777778	1331.43	1405.8400000000001	901588536.6666666	15210053.506	269345.0	429169.0	27710.0
2013-06	100.4	252.3	30986.0		5.4	309.0	1940.2	1160.1	28.2	32.306795	42.594809999999995	1275.44	1281.4668421052631	918888173.5789474	15227267.943	335086.0	535116.0	26745.0
2013-07	100.8	244.3	30229.0		5.3	316.7	1991.2	1053.2	30.3	32.74075	42.81303181818181	1313.38	1328.6795652173914	776706848.6521739	15632019.374	409742.0	654681.0	27325.0
2013-08	100.1	236.4	29226.0		5.2	324.9	2041.1	1147.2	28.4	33.02487391304348	43.969321739130436	1290.96	1320.0922727272723	668717240.7272727	15796827.101	484145.0	774525.0	27374.0
2013-09	100.2	236.9	29346.0		5.3	320.4	2019.7	1202.5	28.7	32.60167	43.4832	1422.49	1401.7638095238092	996733981.3809524	15945652.852	555898.0	894471.0	26319.0
2013-10	100.6	241.4	30069.0		5.5	327.7	2083.1	1449.9	30.6	32.09922608695653	43.74767826086956	1480.42	1479.1260869565217	1011770156.6521739	15945713.302	637421.0	1028999.0	26178.0
2013-11	100.6	243.3	30290.0		5.4	328.1	2099.5	1431.9	29.8	32.693999999999996	44.15250952380953	1402.93	1437.415	1019963079.5	16062065.195	717265.0	1160598.0	25639.0
2013-12	100.5	316.8	39648.0		5.6	391.7	2517.2	2341.5	32.5	32.88070476190477	45.02860952380953	1442.73	1414.4409523809522	962860256.1428572	16260794.307	823175.0	1338731.0	25443.0
2014-01	100.6	235.4	29535.0	100.0	5.6	286.7	1867.1	492.2	21.0	33.78435294117647	46.058758823529416	1301.02	1372.9189473684207	1027750953.6842105	16957531.046	47662.0	79003.0	25567.0
2014-02	100.7	231.6	29255.0	98.7	5.6	285.3	1871.3	643.2	24.1	35.24404000000001	48.106415	1267.27	1316.275	909164725.95	16689419.876	117701.0	197265.0	25856.0
2014-03	101.0	247.6	31486.0	107.2	5.4	309.8	2054.5	728.4	27.4	36.198564999999995	50.031365	1226.1	1149.434	1694078801.95	16908023.987	197896.0	333115.0	25767.0
2014-04	100.9	257.0	32947.0	104.7	5.3	305.5	2042.9	770.4	27.8	35.66772727272728	49.24076818181818	1155.7	1181.918181818182	1116227791.2272727	16563850.172	291566.0	493603.0	26075.0
2014-05	100.9	249.6	32272.0	104.0	4.9	310.7	2095.0	991.1	26.2	34.833655	47.837295000000005	1295.75	1263.9934999999998	1090083080.9	16847470.633	369809.0	628163.0	26357.0
2014-06	100.7	259.8	33726.0	104.5	4.9	312.6	2118.8	1180.5	26.7	34.449533333333335	46.863083333333336	1366.08	1361.0952631578946	1002687436.2105263	16756486.453	448163.0	766009.0	26368.0
2014-07	100.5	249.2	32515.0	105.7	4.9	322.3	2192.2	1075.1	29.2	34.635408695652174	46.95678695652175	1219.36	1314.867391304348	921454604.2608696	16883219.666	538045.0	922855.0	26859.0
2014-08	100.2	235.2	30763.0	105.7	4.8	331.9	2263.8	1168.5	25.3	36.098427272727264	48.09929090909091	1190.23	1222.8038095238094	816057946.0	17111774.601	620874.0	1067947.0	27005.0
2014-09	100.7	242.5	31929.0	107.0	4.9	326.6	2241.3	1204.0	26.0	37.90178095238095	48.97813333333333	1123.72	1194.9831818181815	819897595.1818181	17271181.04	703771.0	1215518.0	26961.0
2014-10	100.8	244.7	32439.0	112.9	5.1	333.8	2310.9	1468.5	26.8	40.79868695652175	51.75546086956523	1091.44	1073.0447826086956	772356610.6956521	17297538.235	796585.0	1379684.0	27205.0
2014-11	101.3	242.2	32546.0	111.7	5.2	334.1	2343.6	1372.5	23.1	46.217484210526315	57.68354736842105	974.27	1030.3415789473684	761430105.7894737	17685383.356	881772.0	1528991.0	27691.0
2014-12	102.6	306.4	42136.0	122.6	5.3	411.6	2954.8	2433.3	24.5	55.77043636363637	68.76348181818182	790.71	824.7286363636365	858026699.9545455	18087076.173	1012064.0	1753294.0	28954.0
2015-01	103.9	218.5	30929.0	101.3	5.5	274.6	2050.5	516.9	12.2	65.1530875	75.33771250000001	737.35	770.0152631578945	525655407.8947368	18552681.778	43016.0	70259.0	29638.0
2015-02	102.2	216.9	31325.0	98.5	5.8	264.4	2024.4	680.7	15.4	64.51817368421052	73.29496315789474	896.63	859.3757894736842	700279099.1578947	19328702.357	92052.0	149640.0	30176.0
2015-03	101.2	224.3	32642.0	109.2	5.9	282.4	2196.6	772.1	17.1	60.363090000000014	65.41292000000001	880.42	866.9057142857143	561881323.5714285	19077331.711	135162.0	217176.0	31342.0
2015-04	100.5	235.3	34377.0	104.1	5.8	275.6	2158.9	812.8	16.2	53.21869545454546	57.357150000000004	1029.31	1001.2504545454548	698925199.2272727	19092873.366	184431.0	297857.0	32418.0
2015-05	100.4	234.8	34380.0	102.9	5.6	281.7	2213.7	1004.2	15.3	50.46795789473685	56.306305263157896	968.81	1046.875	620784877.3333334	19132818.557	228196.0	371332.0	33286.0
2015-06	100.2	241.4	35395.0	104.6	5.3	282.8	2223.3	1203.8	16.2	54.44904000000001	61.103890000000014	939.93	952.0895238095237	488218388.14285713	19383169.729	280440.0	458999.0	34104.0
2015-07	100.8	229.4	33901.0	105.9	5.3	291.9	2301.1	1078.4	16.8	57.17966956521739	62.98847826086957	858.82	893.1265217391306	473399960.0	19892300.219	338512.0	555335.0	34867.0
2015-08	100.4	217.2	32176.0	106.5	5.3	300.9	2376.7	1209.1	16.2	65.42299047619048	72.83989523809525	833.6	811.25	467987243.38095236	20402581.119	396147.0	650852.0	36185.0
2015-09	100.6	220.9	32911.0	107.5	5.2	291.9	2322.6	1272.7	16.8	66.78289545454545	75.03959545454545	789.73	797.313181818182	410492668.5	21121679.839	461182.0	759239.0	36918.0
2015-10	100.7	222.2	33357.0	113.1	5.5	296.5	2385.2	1547.6	16.9	63.24558695652174	71.04058260869567	845.54	850.0190909090911	551462416.5454545	21214913.325	526707.0	870312.0	37647.0
2015-11	100.8	220.7	33347.0	112.5	5.8	293.6	2387.3	1446.8	16.4	65.02956315789474	69.8765052631579	847.1	861.5535	548117512.05	21192815.018	594192.0	982732.0	38995.0
2015-12	100.8	285.1	43408.0	121.4	5.8	353.8	2898.1	2460.3	17.5	69.70484782608695	75.78508695652172	757.04	785.2659090909091	413414292.8636364	21491188.196	699419.0	1157760.0	39524.0
2016-01	101.0	211.8	32660.0	100.4	5.8	257.9	2129.5		9.8	77.934425	84.7717375	745.3	692.9949999999999	453837905.5	23219077.301	37141.0	61763.0	41155.0
2016-02	100.6	218.6	33873.0	100.5	5.8	254.8	2119.0		12.9	77.32849473684212	85.9539842105263	768.8	722.8576190476191	425638876.14285713	22801529.296	117372.0	204390.0	42208.0
2016-03	100.5	228.0	35501.0	110.3	6.0	268.6	2247.8		15.4	70.41831904761905	78.14841904761906	876.2	844.262727272727	513491770.45454544	22970505.53	188449.0	323380.0	43202.0
2016-04	100.4	233.2	36497.0	104.0	5.9	264.0	2222.6		15.1	66.68263636363636	75.60654999999998	951.11	907.4023809523808	633285554.6666666	22518875.512	261125.0	446285.0	43976.0
2016-05	100.4	237.2	37270.0	103.5	5.6	266.9	2258.1		14.4	65.83865555555558	74.36001111111109	904.33	911.2842105263161	503370921.57894737	22673775.428	322703.0	550082.0	45280.0
2016-06	100.4	243.6	38447.0	105.9	5.4	268.8	2283.3		16.0	65.21926666666668	73.2865	930.77	919.8428571428574	486620818.28571427	22924699.894	390085.0	664227.0	45764.0
2016-07	100.5	226.1	35888.0	106.4	5.3	279.5	2381.2		16.1	64.33796818181818	71.19549090909092	927.57	940.0280952380953	444538644.14285713	23062716.722	455219.0	774990.0	46362.0
2016-08	100.0	222.7	35405.0	108.8	5.2	288.5	2458.4		18.4	64.93652727272728	72.79634090909092	950.25	952.9582608695652	369216724.82608694	23453188.007	528274.0	899870.0	47204.0
2016-09	100.2	224.9	35843.0	110.2	5.2	283.0	2418.5		18.0	64.55720454545455	72.3625772727273	990.88	981.319090909091	420171797.04545456	23375072.116	602553.0	1026667.0	47272.0
2016-10	100.4	223.6	35749.0	116.6	5.4	283.8	2443.8		18.2	62.62000476190476	69.12535238095238	988.74	994.8485714285714	363997073.2380952	23318286.553	674727.0	1151728.0	47715.0
2016-11	100.4	225.6	36195.0	118.5	5.4	281.3	2435.5		17.6	64.31373809523811	69.53885238095239	1029.05	995.1480952380953	537832810.2380953	23374080.265	753064.0	1288531.0	48336.0
2016-12	100.4	295.3	47554.0	126.3	5.3	335.6	2919.6		19.6	62.09129130434781	65.51931304347828	1152.33	1117.6736363636362	596798759.0454545	23674251.628	856427.0	1472254.0	48047.0
2017-01	100.6	219.7	34422.0	107.3	5.6	253.0	2214.9		13.6	59.62985625	63.56341875000001	1164.15	1163.3238095238096	545714361.3809524	24200322.09	40039.0	71083.0	48927.0
2017-02	100.2	225.6	35497.0	102.3	5.6	248.2	2176.6		15.5	58.53936111111112	62.40105555555557	1099.46	1159.53	548477883.4736842	24015186.386	97826.0	174330.0	49516.0
2017-03	100.1	240.5	37899.0	114.4	5.4	268.8	2361.2		19.0	58.006631818181816	62.00028636363634	1113.76	1102.8727272727272	566049491.3181819	24075589.658	178334.0	321074.0	50577.0
2017-04	100.3	248.4	39225.0	108.7	5.3	265.3	2336.8		18.3	56.43561428571428	60.460904761904764	1114.43	1103.7865	534778007.8	23967631.83	259996.0	470577.0	51362.0
2017-05	100.4	250.4	39679.0	110.1	5.2	270.3	2386.3		19.6	56.95006842105265	62.95527368421053	1053.3	1092.0445	547790586.6	24273419.809	338765.0	615484.0	52462.0
2017-06	100.6	260.2	41454.0	111.7	5.1	273.3	2421.3		20.8	57.89317619047618	64.96590476190475	1000.96	1011.5990476190477	566299067.9523809	24276548.487	423482.0	772692.0	52260.0
2017-07	100.1	239.6	38073.0	111.3	5.1	283.7	2509.9		20.8	59.69267619047619	68.62092380952379	1007.14	1020.5066666666668	476565665.3333333	24897140.164	507866.0	927297.0	53512.0
2017-08	99.5	235.1	37099.0	114.5	4.9	293.6	2585.5		22.4	59.61272608695653	70.37159999999999	1095.84	1041.555652173913	461512082.04347825	24861335.612	602220.0	1101396.0	53879.0
2017-09	99.9	241.7	38047.0	114.7	5.0	292.2	2569.9		20.6	57.74469090909092	68.79167272727271	1136.75	1118.5452380952383	553761639.0952381	24798365.101	700634.0	1285259.0	54550.0
2017-10	100.2	243.1	38333.0	119.3	5.0	293.9	2594.0		21.5	57.69805238095238	67.85532857142859	1113.41	1134.6163636363635	480421797.6818182	24762043.863	813342.0	1498318.0	55644.0
2017-11	100.2	245.8	38848.0	119.8	5.1	290.4	2571.2		22.0	58.92655238095239	69.13203333333333	1131.56	1142.2590476190478	738756177.5238096		935632.0	1730933.0	56309.0
2017-12	100.4	322.5	51197.0	126.6	5.1	346.7	3085.7		24.2	58.573854545454566	69.33787727272727	1154.43	1139.3585714285714	449384454.47619045	24996930.627	1086939.0	2021398.0	54575.0
2018-01	100.3	246.1	39017.0	110.1	5.2	261.8	2330.4		16.7	56.49810000000001	69.02000000000001	1282.36	1261.16	689055117.2	25987406.278	78043.0	148275.0	55965.0
2018-02	100.2	252.2	40443.0	105.4	5.0	254.7	2271.8		19.1	56.80670526315789	70.30125263157893	1285.47	1260.0884210526312	806000487.0526316	25471747.486	180697.0	347215.0	56636.0
2018-03	100.3	264.1	42364.0	117.4	5.0	277.9	2486.4		21.7	57.06360476190476	70.3558619047619	1249.41	1260.0009523809522	674310259.8571428	25765506.098	299399.0	581971.0	56469.0
2018-04	100.4	270.4	43381.0	112.0	4.9	274.8	2468.6		21.0	60.76989047619046	74.64851428571428	1153.96	1155.8668181818184	931793214.2272727	26055183.806	424699.0	831238.0	57186.0
2018-05	100.4	272.8	44076.0	113.8	4.7	279.2	2522.6		21.4	62.2309	73.51863157894736	1162.98	1169.859047619048	584160415.5714285	26743710.437	542814.0	1066642.0	58002.0
2018-06	100.5	282.7	45848.0	114.1	4.7	283.7	2573.3		21.1	62.76850476190475	73.26981428571429	1154.16	1137.927619047619	546195079.1428572	26703240.089	663352.0	1309282.0	58056.0
2018-07	100.3	260.6	42413.0	115.2	4.7	291.6	2643.9		21.2	62.861947619047626	73.44673333333333	1173.06	1160.0695454545453	531864914.1818182	26991730.273	785111.0	1555677.0	59294.0
2018-08	100.0	254.1	41364.0	117.6	4.6	302.7	2744.0		21.7	66.07640869565218	76.2987	1092.29	1088.7895652173909	557729757.4347826	27065096.613	911333.0	1815652.0	59893.0
2018-09	100.2	256.4	41774.0	117.4	4.5	299.4	2719.1		19.8	67.66609523809524	78.89983333333333	1192.04	1110.5314999999998	626464439.1		1033354.0	2070498.0	60282.0
2018-10	100.4	259.2	42332.0	125.6	4.7	300.6	2744.9		21.5	65.85452727272725	75.71962272727274	1126.21	1142.158260869565	645922855.6086956	26934424.988	1174604.0	2370237.0	61103.0
2018-11	100.5	259.2	42595.0	125.1	4.8	300.3	2762.8		21.3	66.35568095238095	75.41989523809522	1126.14	1126.2809523809526	623912930.1904762	27074348.164	1174604.0	2370237.0	61103.0
2018-12	100.8	335.1	55569.0	134.9	4.8	356.8	3311.6		22.4	67.33531363636365	76.65442727272728	1068.72	1106.7190476190476	487779996.95238096	27156149.667	1314573.0	2671789.0	60999.0
2019-01	101.0	250.7	42263.0	112.2	4.9	267.9	2507.5		16.4	66.51254374999999	75.9632125	1214.45	1161.3629999999998	518641480.7	28460229.098			
2019-02	100.4	253.4	43062.0	109.2	4.9	261.0	2454.6		18.3	65.81052500000001	74.72684000000001	1188.28	1195.4445	541808488.4	27744438.719			
2019-03	100.3	271.7	46324.0	119.5	4.7	285.0	2690.4		21.0	65.09225714285714	73.66820952380951	1198.11	1201.687	549461853.05	28168326.306			
2019-04	100.3	280.4	48030.0	116.7	4.7	280.7	2656.9		22.1	64.60310476190477	72.62304761904761	1248.39	1247.9504545454547	601681288.6363636	28215469.978			
2019-05	100.3	278.7	47926.0	113.8	4.5	284.9	2703.2		19.9	64.81870555555555	72.49447777777779	1287.09	1258.1095238095236	710814088.7619047	28810304.101			
2019-06	100.0	286.8	49348.0	116.3	4.4	289.2	2741.0		20.0	64.16904999999998	72.39603	1380.52	1352.0863157894737	803984841.6842105	28805649.978			
2019-07	100.2	269.3	46509.0	118.5	4.5	296.1	2807.0		22.4	63.222681818181826	70.9685909090909	1360.04	1374.7460869565216	676447136.6956521	28982533.771			
2019-08	99.8	260.4	44961.0	121.0	4.3	306.2	2897.5		22.0	65.58748260869568	72.97036956521741	1293.32	1279.6072727272729	670552799.9090909				
2019-09	99.8	263.8	45541.0	121.9	4.5	302.2	2856.2		21.0	64.958705	71.55244000000002	1333.91	1353.9704761904763	719007794.2857143	29462835.022			
2019-10	100.1	269.1	46549.0	129.5	4.6	306.4	2904.6		23.9	64.37499130434783	71.0582347826087	1422.92	1358.5091304347825	786174535.7391304	29351134.513			
2019-11	100.3	266.6	46285.0	126.0	4.6	308.0	2932.5		23.3	63.867119047619035	70.6082142857143	1438.45	1452.2234999999996	912880466.15	29382939.168			
2019-12	100.4	357.3	62239.0	137.3	4.6	363.4	3472.9		24.4	62.93253809523809	69.89192857142858	1548.92	1494.4980952380956	757926007.1428572	29597427.819			
2020-01	100.4	266.2	46674.0	113.6	4.6	275.1	2639.8		17.1	61.81214705882353	68.57083529411766	1517.07	1592.5805	1064810722.45	30549014.128			
2020-02	100.3	267.5	47257.0	112.9	4.6	273.2	2628.9		18.7	63.97975000000001	69.852565	1299.69	1506.3384210526315	1216467446.4736843	30173557.393			
2020-03	100.6	286.5	50948.0	120.1	4.7	301.0	2917.5		20.4	73.71944210526317	81.49284736842105	1014.44	1050.7980952380951	1837732407.952381	30820813.544			
2020-04	100.8	274.2	49306.0	109.1	5.8	215.5	2110.0		17.6	74.76353333333334	81.2116722222222	1125.03	1086.7336363636364	1172953214.8181818	31465703.698			
2020-05	100.3	280.8	50747.0	103.1	6.1	230.0	2257.3		17.2	72.50029444444444	78.96706666666665	1219.76	1165.3905263157894	1075120774.1578948	31480286.73			
2020-06	100.2			105.5	6.2	266.3	2623.5			69.19671500000001	77.88653000000001	1212.63	1256.804	1197711913.35				
