fielddate	newsInd_krizis_share	newsInd_krizis_corr	newsInd_krizis_neg	newsInd_krizis_neg_len	newsInd_krizis_diff	newsInd_krizis_diff_len
2004-02	24.73184865354568	20.871512349205307	28.751433113471798	31.089286622288842	28.758502889924678	34.7702755925563
2004-03	5.241917537436066	0.6121289737388332	3.2897254232997235	12.094990146026996	3.0839247861121915	15.247898461677801
2004-04	8.277492261865394	34.1249445914572	0.0	7.667662326373748	0.0	10.593709422693587
2004-05	9.878103943508783	29.539186677078	26.968298117837485	30.088417190145698	27.11942918984777	33.79811426343725
2004-06	11.42679885718796	35.72344301337113	11.754379688968124	19.78631733187198	12.209573960097563	25.754343243738518
2004-07	17.978919472268473	42.325920471626056	8.943820883555773	17.422777834610272	8.789750551876347	21.245810908064747
2004-08	14.721606726004806	29.162011723583603	30.214781495765433	39.624106331761055	29.793145483787146	40.92337374234412
2004-09	7.433933071538278	31.082456814310365	1.3240667628999585	0.0	1.071517390924877	0.0
2004-10	3.7940792637837095	32.993997020121824	9.276370042741352	17.298861375988942	9.598299864230476	22.592791388954353
2004-11	6.687703847122741	36.848161323388965	5.0847610875308495	9.634916594534145	5.702613113401859	17.982787183629014
2004-12	11.650892353336744	39.84931103449645	15.563838575882508	20.355854722703217	16.278434174718388	28.901933274657026
2005-01	2.015046353010129	3.40597824276754	82.22335004019556	80.5138809038803	81.97807986344841	82.96544774448179
2005-02	1.6329270836986691	9.984900553927831	63.46398154513876	60.34128358283263	63.38822275427662	66.09393203593567
2005-03	6.5551011083039965	14.10042451301119	53.59663099633366	51.831325335395604	53.41546045981696	56.334685953525785
2005-04	6.345334485178211	14.11869970720211	55.06208848937749	55.69892248542978	55.196959840915355	62.39056118414789
2005-05	8.847835007399805	11.977642296312663	51.93227597387261	53.32046754198173	51.725572906314746	56.88720605561315
2005-06	13.695301307455207	15.011714949137248	62.30737319641083	61.14306448222593	62.2035868248983	64.94360581771738
2005-07	5.285922271490531	8.885531729036606	69.86951650529909	72.45166562973556	69.54786582818846	75.09592695808449
2005-08	6.4852418808708405	9.28843015962847	77.0476427118486	79.69937680042139	76.80189715929534	82.49779166190136
2005-09	12.173582507073533	13.029213326591575	62.605293514338896	63.65593271108656	62.36876921922889	66.68491823281363
2005-10	13.567538520008874	9.944416718904053	80.5049789500639	84.56582559897736	80.2722196631195	87.45513347369209
2005-11	7.588276282768438	9.438011803039908	71.75616213697522	78.11296192154363	71.6354209574323	82.54700611807823
2005-12	8.548612681275019	10.561876919016354	72.65505512832905	80.39374703070409	72.36967682042349	83.32313636810903
2006-01	5.959321182947918	0.5541126812053254	92.45055619044828	98.42020091380353	91.87769762360064	98.30094745561844
2006-02	1.0807534527727507	0.0	86.98349427319904	96.25743969166322	86.35636213992996	96.2544264911379
2006-03	11.133938787238442	4.857018396308326	76.58735597907203	86.99624987377527	75.96205148555723	87.6738187909469
2006-04	11.573180170518592	4.757685084264713	81.70365587877639	90.62870274807602	81.22315365901538	92.046351728768
2006-05	15.246687178502517	5.4387679367503985	85.65485007535013	94.41120103323378	85.13416637591831	95.1192124085656
2006-06	15.219345839737064	5.160563242080617	84.18853786109914	95.0130638051398	83.7462652757441	97.28205635295157
2006-07	9.084153548406123	4.358151583419237	76.75830506104192	89.37263239046966	76.16287002970758	90.93955021957599
2006-08	10.655535093907977	1.3229817112791784	89.99939348040972	100.0	89.35834990148982	100.0
2006-09	10.85145971078131	3.5302234432165984	80.29474652542585	87.76142484407623	79.6412980468901	87.69928853512957
2006-10	0.0	2.400344981015215	74.40810941264841	85.77808931267083	73.66473522231735	85.66745688111318
2006-11	10.71785876374426	3.712889405699472	80.07189583200234	91.24867375910479	79.49598385473645	92.35219601974468
2006-12	13.506647664561045	4.319946794804661	81.60884341620589	90.72103892073574	81.10594389609454	92.16439445469341
2007-01	12.868100947239617	1.7053988113060288	90.67510637432136	96.96025894194835	90.04853852780678	96.45948334642792
2007-02	14.060638235445499	3.0926371087292464	87.33262430293976	95.84714568450764	86.83228015034659	96.70634753154398
2007-03	13.874227338981695	4.988184022170244	79.84931253954491	87.12636773907278	79.30285859273789	88.07235348456436
2007-04	37.7110209738446	12.781863946051093	61.72732776635482	72.83515254038106	61.0707160483077	74.42244378774576
2007-05	25.465648346274158	9.235830109273715	73.03677526233892	78.89140247869929	72.47849233699796	79.66066793995972
2007-06	32.84718682332938	9.935632101227911	82.32605249029096	91.26235678114165	81.95351575816161	93.74976978035922
2007-07	22.031666616006746	4.139393267364274	88.26788285782852	96.62303915435976	87.67002287263948	97.17900825131693
2007-08	31.87749098273532	6.456862380171794	85.51284536379951	91.80805027405499	84.83309954869979	91.61356924299973
2007-09	31.933926477540968	8.889465453191875	84.38023842926852	91.22891990998603	83.93984058204074	93.06539512212272
2007-10	22.022368749006887	10.419272074546587	75.52185818905139	84.32506979038143	75.04001527722609	86.21321868403614
2007-11	45.492933300708415	17.7190201132398	62.417115236939665	71.00595405815899	61.6985422199566	71.4860164153624
2007-12	18.64186061786627	14.285682788637507	73.52013847300705	84.99842771742479	73.22956680273303	89.33780977999784
2008-01	56.709242424308144	25.9864371409506	76.80583910557937	73.69765951609236	76.3549307940714	73.15816772592592
2008-02	44.001554138865544	18.935208186525195	81.53523897659792	74.18888757530891	81.33071321838578	74.46097266648005
2008-03	33.73416483829518	24.132455661168258	67.29972248248139	60.018173399511596	67.26919009338371	61.384294683233186
2008-04	33.176862656835766	22.050847159750624	67.4542332117392	56.558554792102356	67.43405919835662	57.126985581000035
