fielddate	sentInd_beta_neg_pos	sentInd_beta_neg	sentInd_beta_pos	sentInd_diff	sentInd_beta_diff
2012-01	11.442750267031215	17.40916846836031	64.19862073179999	7.411757393552732	8.889864567627033
2012-02	49.14210028083396	42.49132569547283	89.69816493886222	23.315928428036564	28.29841024790701
2012-03	40.50846312759233	48.438582585516876	67.92406833713326	51.68300009060427	43.63686827949512
2012-04	33.428134994663466	43.297377512641454	72.24150407030926	52.72875908032591	35.975293625094395
2012-05	37.77230567707581	38.01257898290502	32.29477869337167	56.723684614018914	45.22878751036979
2012-06	33.14417925225072	36.08758722152549	30.08324683492841	52.091647270392905	43.83745077153913
2012-07	22.579103954592235	34.69095838531655	72.02632227889451	39.35995760002858	26.022020981706515
2012-08	37.12573515732618	40.29251272177969	60.23736493469394	29.750908317890072	37.10385422809155
2012-09	17.000006280463012	18.63180583176261	39.98404058701605	18.357092956294274	19.66057685246619
2012-10	25.26599643368469	34.10836411822075	24.370136927544415	71.91865130568367	43.73420896551737
2012-11	8.234084571753405	10.13477068693674	3.3335880911366633	45.518939028122794	23.896038626784662
2012-12	13.852501639209105	15.299447048490453	0.0	52.66621071828283	31.205295590603498
2013-01	5.799887724866614	11.868449355852057	61.91582899797878	0.0	3.309573183230403
2013-02	0.0	0.0	34.6286221022374	3.2489583154992587	0.0
2013-03	2.75480907889553	19.651920952730432	28.014899331595558	60.85914936533495	25.4693334463953
2013-04	13.969611924629861	25.443039632273752	67.82589874455884	24.814895760793107	16.858660949289224
2013-05	10.558349580316827	18.076884740108998	49.02007310307609	24.169481229334366	15.526254607324736
2013-06	28.712065522641844	31.672098536404466	37.663416896265325	48.815195185031996	35.763003895750565
2013-07	43.9394111858376	45.07407247075956	51.04346474397229	56.16924612358107	46.22796649803687
2013-08	34.02918420810129	42.33396115629993	78.42135492653588	47.767836595270374	32.46687114781689
2013-09	47.31393769209276	55.561288493448274	68.6539704339884	73.13767062415874	51.66127707494751
2013-10	39.99150598001877	42.1420863627348	58.70051594148048	48.65295950022918	39.85382574645771
2013-11	55.7433692645279	54.429159043086486	62.5160410992067	61.87186389540612	52.70981488090312
2013-12	59.024443010386854	50.88092257696139	71.58711950291523	52.6769264682346	45.071333660132744
2014-01	73.5537168264836	68.14905103741363	89.10334732799593	62.382042783346286	58.448542225600946
2014-02	86.1988320681928	78.1326636132619	86.6655071626306	70.86521217096036	71.03167933805632
2014-03	76.92197046775351	68.38669048484634	98.0395915247327	49.502000784943434	55.27696948394587
2014-04	85.69382482151157	71.40743973502401	76.57403233564398	63.358207997298464	67.08362948679392
2014-05	66.42355807134614	60.69319342944054	71.90862864221963	60.502669430356136	56.38976786518883
2014-06	64.47018864942231	59.61666442460117	65.89626301932194	62.963173738836	57.454685931264784
2014-07	72.42271592153283	59.19061309688229	80.41853830826463	46.70704021174317	51.35338180730307
2014-08	69.50706033331339	61.76040545837382	69.23973459534585	62.07021700381247	58.66427503944685
2014-09	77.689764002904	70.59838444682427	76.07645122218707	69.49642132344732	66.33218282594213
