fielddate	newsInd_krizis_share	total_cnt	newsInd_krizis_corr	newsInd_krizis_neg	newsInd_krizis_neg_len	newsInd_krizis_diff	newsInd_krizis_diff_len
2008-02	19.951463078037076	975.0	0.0	100.0	100.0	100.0	100.0
2008-03	24.42071538186289	3103.0	16.706564116510844	60.657392097695315	55.50227817327358	60.974189326021914	57.554938570910046
2008-04	21.397740758930606	3122.0	12.632044168962812	55.2294321537229	45.115594027992294	55.44562807317085	44.934118430360094
2008-05	14.340366049256522	2886.0	8.54083613060201	67.91944145358636	56.235417260111845	68.13639476596408	56.21624780721186
2008-06	22.234362676851557	2893.0	11.559154741161757	61.61950177601725	56.05383993039639	61.658217615257804	55.838325469202985
2008-07	13.421552248811988	3350.0	12.929541090532865	50.41491640913256	47.799386368480356	50.394829533903334	47.94040208410565
2008-08	0.0	3977.0	14.044600038367733	47.75612520255599	36.32673060509582	47.991149516306315	35.47105007511305
2008-09	58.82365913713859	4562.0	55.06957170442303	41.44933917645349	34.287777850484304	41.78036351471624	35.14722203365952
2008-10	96.01658090185268	4904.0	99.91444877401327	32.958151420306216	16.251799133775307	33.37106792157048	17.431245203374328
2008-11	72.55279395138649	4335.0	65.8550653499919	49.45764830494136	37.322319588657116	49.99085932973315	39.55123972846819
2008-12	68.94229238972133	4859.0	81.57347119802513	27.14677057288671	20.726833820236934	27.49912351346606	22.030318873471995
2009-01	63.08312190509847	3984.0	61.15098651495681	43.87037506863112	40.583362790538764	43.96949616398382	40.09106040810836
2009-02	80.86192710627225	4115.0	73.38503583532305	11.63670681182309	4.5217841979045845	11.825890461262404	4.5901190814939135
2009-03	88.15508961571548	4396.0	86.23827879307477	18.809954779447793	18.253463160575564	18.84751020361831	17.976209399822316
2009-04	85.91246515715827	4493.0	73.51146108536119	0.0	0.0	0.0	0.0
2009-05	54.1472454403935	3980.0	52.04491656195441	24.476560372103425	21.461096370090782	24.4440341254156	21.046239501294217
2009-06	65.31118281803033	3683.0	60.940083973196934	27.417008982136295	28.092772658623545	27.30892186195971	28.792243853747138
2009-07	51.26742583486737	3676.0	51.81081250909251	28.934556728236842	28.342022170263785	28.847512184320415	29.349937904338397
2009-08	43.814369881137246	3398.0	39.61176673700571	34.04189768501714	28.886447259374275	33.68815846306931	26.18994134934975
2009-09	59.12247521249123	3341.0	54.268099535052386	29.287962193821006	36.71296530978353	29.08608370671755	37.19637436665833
2009-10	53.4061412239824	3662.0	51.04635368626177	33.148980829987984	37.6482001770008	33.0739514637442	38.798649462969465
2009-11	49.416676777035555	3342.0	44.699107055813265	42.51686756765198	39.51713928845957	42.3345396549167	38.73964974104559
2009-12	48.54613318083725	3603.0	50.276982216041695	34.19017880373428	35.38574714697855	34.05762227034431	36.017848365307714
2010-01	38.572890192620875	3098.0	35.24098874397661	53.984163049760525	58.69901565602904	54.003452837343836	60.66855015159939
2010-02	52.158265586342836	3001.0	42.2493202295125	44.35433721333579	53.88973116561677	44.20977600420665	55.771025919658285
2010-03	49.65139739228421	3360.0	44.89726268981001	39.756995125296015	41.47920153479508	39.74297630848961	43.29090260535652
2010-04	52.71380292196328	3194.0	44.96776757005529	37.454620324737675	54.56057004815773	37.25379906047542	57.115838936911736
2010-05	61.99696322884885	2984.0	46.032772187865405	41.04160779722876	54.4210531917631	40.81145808497009	55.66529277532563
2010-06	57.45546599608721	3001.0	40.25760168938132	29.79348198146226	44.58411397244639	29.378295717455664	44.71758556625206
2010-07	52.387563806989164	2860.0	31.383340527633944	35.02340618258511	50.23436477025554	34.67452398243089	51.120306405521276
2010-08	25.751409041723395	3583.0	25.794825107798793	24.06054441966491	26.768584234314943	23.68478459814224	24.212118323082013
2010-09	32.5853345136696	4145.0	35.04636567891243	21.42040749460772	14.012568658724073	21.26129098481237	12.03156023447427
2010-10	35.00701281187141	4056.0	37.172020751906025	47.04141650283244	45.686061735251315	47.08962700744567	45.61066675167639
2010-11	46.6791184971834	2859.0	31.921778298821824	54.07766327614464	67.39390179081445	53.83747375026992	68.54760779548417
2010-12	55.216265921138145	3412.0	37.08653057862643	36.040126452704854	54.972730714445106	35.61852215253731	54.83112590148461
2011-01	41.08384143223785	2782.0	19.882180395143703	53.324897414387934	57.88375742370573	53.05842016619661	57.09744764872691
2011-02	42.972318308687285	2777.0	23.2323445113835	59.641871845664255	66.07932561455478	59.42591208290775	65.91546049027914
2011-03	29.29530561804039	3195.0	22.640957334428588	64.48502594009331	72.58615741037757	64.1451636628791	71.38018251856766
2011-04	19.713149129898003	2992.0	13.705408779799594	68.44258576176061	70.71495870303238	68.23179643985624	69.75878944647556
2011-05	36.48223659928904	3029.0	15.183602344655174	75.54583924082549	78.86404486302975	75.41539909822698	78.46347773869049
