fielddate	newsInd_krizis_share	total_cnt	newsInd_krizis_corr	newsInd_krizis_neg	newsInd_krizis_neg_len	newsInd_krizis_diff	newsInd_krizis_diff_len
2011-04	0.0	4.0	0.0	99.48490728433535	100.0	99.4556476735906	100.00000000000001
2011-05	6.008421463464738	15.0	0.12434145270745306	100.0	99.81091698975803	100.0	99.90659350927177
2011-06	62.38007433685551	26.0	0.29718022150014817	99.17687682443136	98.74622006195371	99.15925763650624	98.72157978151473
2011-07	8.1929098321804	22.0	0.17297822335023172	99.56628635792714	99.11036997800778	99.5339349069094	98.96265390706579
2011-08	56.88229564450968	179.0	3.871674106260467	96.15324056751764	92.66321342031219	96.14272319833296	92.43665019011424
2011-09	43.42193067250149	718.0	12.574972368885067	87.50774866019414	82.42969010134985	87.56542888426897	82.54488368738053
2011-10	35.23620703638131	670.0	11.415855713883627	87.68658479055911	83.66555827767493	87.74303392523358	83.95198503875606
2011-11	48.91482360715586	630.0	11.817224734323421	89.23966860586737	85.84919904558619	89.29285114328727	86.2036307331935
2011-12	39.02037645131547	575.0	9.959514728224603	90.46350515751932	86.67121879752993	90.52407232485098	87.17391996829
2012-01	53.44610667298344	467.0	8.881773407712329	91.57798248014247	89.0600325092706	91.58728918028022	89.26802448746221
2012-02	33.48722866118243	557.0	9.07769326888109	89.66501305426534	86.18780946051078	89.71163677926813	86.5518218255028
2012-03	37.51256029030601	466.0	7.488729926682534	91.55456127659141	89.87347889840461	91.58727495731397	90.42813161516045
2012-04	42.810934006079144	442.0	6.485511634175528	92.65965273232331	89.99355436001638	92.69538961922179	90.35729550922628
2012-05	49.437148060565576	483.0	9.589566823904091	91.77600588099571	87.82766576615833	91.8019529514275	87.82024605886018
2012-06	65.45214311733972	519.0	14.05992796640122	90.81361852542827	88.082328109168	90.87697607127187	88.89048146230316
2012-07	58.64010937775164	315.0	7.383022364798785	94.77562076903332	92.46887942532592	94.78267577532948	92.60122003432532
2012-08	51.29111160805489	260.0	5.075847141964015	95.77635892312658	93.74219760218828	95.77844274339067	93.85884388886363
2012-09	24.99559465107002	429.0	5.956481205895002	91.54151470944753	89.70871887168434	91.55643663152956	90.06535004694167
2012-10	20.024927927173856	468.0	5.654687288841885	91.87099742691949	89.20778776680514	91.9110241649285	89.59028250248032
2012-11	35.90410320363651	389.0	5.994630944923208	93.50777065926891	92.01894180616017	93.54242169023769	92.423276321859
2012-12	19.883920718062715	426.0	5.152026662311173	92.02411173155218	90.8822972265338	92.06217021345302	91.38065367720785
2013-01	29.68601472173738	343.0	5.039602121429476	93.05127337481281	90.3053833881347	93.04946726655471	90.13831316668255
2013-02	27.901871607223075	394.0	5.142459276309239	89.68088613951333	87.2533695566542	89.64416203057557	86.97196507829861
2013-03	50.0077551174083	391.0	6.728000840626861	92.22174783048044	89.16752811785184	92.22576317563819	89.16109581608295
2013-04	38.673515572280174	459.0	7.130579101208959	88.63739010546047	84.10729189860145	88.58742182185983	83.62296606571628
2013-05	27.227340054226865	556.0	7.727764676167658	87.35938204912654	85.99802937537228	87.35461655257436	86.38399802731504
2013-06	42.96761194936771	864.0	14.245936169392547	81.85032477868735	78.80346796162263	81.94061251269315	79.8008507253857
2013-07	41.85800103052235	1565.0	27.399036435963527	66.88032174814698	59.702432467433965	67.00617730417424	61.47994397273002
2013-08	60.6389715969677	1743.0	33.36451132656447	67.90708436218799	61.61201834532706	68.16872724184086	64.43432667820107
2013-09	49.93875974170343	2831.0	50.47651346687534	47.03430502812007	41.82979266876083	47.562185051974396	47.212969490392325
2013-10	77.39224531727737	2339.0	51.446501255254724	53.901201018192296	46.170927103877354	54.258584313639915	49.5208600895258
2013-11	55.27653413252526	1961.0	38.00787923350816	54.78682140359037	41.85003033998747	55.18687558530507	45.98717720994818
2013-12	60.455262693468384	2887.0	58.32324257103771	43.39721984321391	32.573194133783794	43.880574196324304	38.239501199039296
2014-01	63.353020520394885	2452.0	52.51331253832308	56.58938420391884	46.121278030143145	56.97077418428426	50.30561774090513
2014-02	85.6009158851135	2761.0	68.1846228997336	46.87852628839012	29.46061010839006	47.3277020981733	33.515609394751685
2014-03	90.34131693979455	3803.0	93.90443160202392	34.58712630501209	12.405709660634853	35.17191225759462	17.77293167074709
2014-04	81.6873120849402	3661.0	85.41778810891496	27.55789593513449	16.51995628969509	28.02796084626352	22.977070075749506
2014-05	82.47011887871442	2030.0	47.05524315669318	57.08070311458341	55.287248492497994	57.21857408699178	58.51057959700592
2014-06	65.51727924203264	1781.0	37.41636975768288	58.22692999061064	56.432792111111716	58.18910853393679	57.74152423909341
2014-07	71.28719713305424	2126.0	51.06066208392975	41.987947401732534	39.9226745068058	41.81976216409302	40.99298139505942
2014-08	71.44093510197618	2298.0	48.97634507933911	44.57407766139786	41.59400413723473	44.546384759546584	43.90011992679836
2014-09	68.36008823920692	2768.0	59.9279340315094	27.30452819214357	26.860799748235408	27.21987035306544	29.564403361324235
2014-10	79.67833068732783	2921.0	69.78179356375232	28.335700356363837	27.454520688785596	28.391814844553792	30.92945650783894
2014-11	79.43937987351093	2619.0	65.40419472090703	36.254604101398364	30.963956849837086	36.323270472670686	33.7709813764975
2014-12	95.80775376629789	3286.0	100.0	21.37845217263749	12.274738304391406	21.414597416973606	14.976261633498062
2015-01	100.0	2076.0	62.36363283544674	45.051709352510656	36.60118104908278	44.9264469679356	36.99086188094311
2015-02	88.91323730609795	2118.0	55.360666711730694	36.029389622454545	33.0018529825601	35.82199933350751	33.483321399019346
2015-03	62.99928331450945	2420.0	51.53370463116446	40.422874978374566	37.06341566577617	40.47745319489364	39.764787936383556
2015-04	51.65794638931772	2517.0	51.59274426537206	37.908794516929916	34.30642874638742	38.039066282965486	37.542369539131755
2015-05	56.616645278686676	2061.0	42.21113519701387	53.59332635532286	50.516988956422566	53.71614403310177	53.078551492689485
2015-06	51.83036631580368	2905.0	57.614047407054485	31.709021546010238	28.449500547384698	31.846266447420984	32.04974921996811
2015-07	58.69775735964193	2582.0	59.569791516074744	37.955187626724125	34.90676477448978	37.99877798077173	37.24871858275048
2015-08	61.313329661052215	2078.0	52.008648181340675	50.07821432288768	38.90368778695084	50.00576158636889	39.124257772466784
2015-09	34.74752014343013	3060.0	52.113909620275514	25.535438756336966	21.16996022511781	25.535340921725105	23.850559813324402
2015-10	58.328980509277876	3346.0	67.59158559156404	8.727854804872443	5.92142441610477	8.506613982895942	7.24241807541959
2015-11	40.525735867173786	2806.0	49.36788553865981	2.7338742474639646	1.019326263534792	2.1500194743185266	0.0
2015-12	45.27970820705184	3184.0	59.96843983516164	5.836409788497106	8.418908063889534	5.50497931243225	9.675834270414972
2016-01	66.30647410839391	2567.0	59.437085266867065	35.34845196303149	24.330467293729427	35.2778037364131	25.035910940884147
2016-02	48.738538495482224	3154.0	57.623563659566514	6.760070238112806	7.001149653745402	6.573339990367363	8.8732691641854
2016-03	42.31132885988878	3171.0	56.920986108621086	10.450493463004308	8.344812504960542	10.292681965742531	10.835241591131586
2016-04	46.53410869969835	3590.0	63.126195240162744	0.0	0.0	0.0	4.339369785427862
2016-05	48.39260692687882	3076.0	55.85155471297826	29.37261211278982	24.712941687281504	29.720912106246143	30.495426659474344
2016-06	38.15983135482834	2869.0	49.37961780397927	30.11383582988664	23.597737437966476	30.247131846341013	26.77133838064791
2016-07	36.04959525553449	2777.0	45.201247453089415	38.571671107434966	29.463358802244677	38.78185899235229	32.6891727043484
2016-08	33.02007032091235	2295.0	36.680612337117324	50.03627636197501	45.5968746602169	50.226108519751186	49.0227028483091
2016-09	29.739573079898985	3239.0	48.39868804905147	36.544296916903136	31.833436397533745	37.15093192261975	39.56809536769
2016-10	31.555085889558313	3164.0	47.97814444055778	29.79909790057845	25.555747099363778	30.089002141885054	30.791322473268888
2016-11	42.46580750955154	2542.0	39.998409838632575	41.20571013613305	32.36337727828213	41.531248198639595	37.45876557950699
2016-12	34.39004278541278	2649.0	44.21441768570186	31.279500861997843	29.54470881657238	31.355610615810726	33.33850656303877
2017-01	32.78035200054063	1795.0	27.40078366600147	58.712035257621764	53.17834183000839	58.80222363526275	55.37424173508416
2017-02	19.894929170718367	2310.0	31.3285678182337	45.41532379353638	38.52354274491116	45.718615623600314	42.78846473862653
2017-03	34.98798053175498	2596.0	42.99639606564123	37.929414796003485	29.863415707458543	38.090008045228714	33.38141457937341
2017-04	38.72635011413252	2364.0	39.10601246796111	33.9220687232962	30.667591916571396	33.896375614179206	33.135773418655425
2017-05	32.71910460369805	2239.0	33.06285157625665	50.47495211320104	38.326094702255475	50.67166527051889	40.65444073951627
2017-06	21.52019805905404	2638.0	36.17954059325662	38.05354575178326	28.70321010010392	38.29747442545516	32.56189606150651
2017-07	28.18712822977333	2014.0	32.667144374968544	52.91012708336558	50.339320255322754	53.018487993459644	53.20751687442336
2017-08	33.95590899741189	1839.0	31.540091172877446	60.780912293817714	52.68957572792638	60.9076953068078	54.681141887033014
2017-09	16.56861224211055	3247.0	44.82901507186802	37.65807562806255	21.245635205548457	38.2103493141965	26.673746771618678
2017-10	18.84095557104829	2951.0	39.085804562991065	43.60329571931415	28.90618104533103	44.11621959114603	33.656496021589604
2017-11	19.186993084322726	2724.0	36.92944119265039	43.41989089508749	35.46974240262317	43.88387393695735	40.94946356936353
2017-12	25.202783885596777	3082.0	44.302645267543426	31.534541507809585	25.050012515331044	31.858389761934042	29.59402799466035
2018-01	28.515584620166575	2370.0	32.38946396887925	51.00425837570212	48.602190899945995	51.25459548919791	52.621530007937075
2018-02	35.588809294769824	2618.0	42.05503622468681	32.35281081622491	28.609269926917968	32.45224740044128	32.28844219808776
2018-03	0.4126755548964185	3293.0	36.22156849622905	17.361955069768616	13.580413991886342	17.20200933270278	14.900716914650666
2018-04	30.294654029246402	2790.0	46.121246347645275	14.520273908302743	17.32248813653726	14.28377105996256	19.450196735019304
2018-05	25.725637362498087	2564.0	34.786348994648726	38.65522965196381	38.25030732987551	38.73743482192613	41.23151189946182
2018-06	20.433861840636343	2840.0	39.495903981908654	41.733525402211626	40.87606828004632	42.033550734544136	45.804346446996256
2018-07	22.90856146727365	3017.0	42.46731791000107	41.23295247846757	36.98219596834342	41.59389088993245	42.918950236315965
2018-08	37.77788168101149	2545.0	44.883499152342516	40.45178851839202	34.81199908104123	40.563675274000374	37.84954230722589
2018-09	15.090613377206092	3368.0	46.930114260789125	19.62532073329409	10.296485715720026	19.79098822091606	13.571503697258162
2018-10	27.533460426501154	3744.0	57.49355051983497	21.041274724649487	17.902973759517877	21.46577816839288	24.31189627085582
